Order,Player ID,Player Name,Country,Total earnings(year),Total Earnings(game),Percentage of Game,Total(Overall),Percentage of Total
1.,JackeyLove,"Yu, Wenbo",China,"$157,128.01","$805,696.08",19.50%,"$805,696.08",19.50%
2.,Karsa,"Hung, Hau-Hsuan",Taiwan,"$157,128.01","$575,459.59",27.30%,"$575,459.59",27.30%
3.,Knight,"Zhuo, Ding",China,"$157,128.01","$472,863.26",33.23%,"$472,863.26",33.23%
4.,369,"Bai, Jiahao",China,"$157,128.01","$467,254.80",33.63%,"$467,254.80",33.63%
5.,yuyanjia,"Liang, Jia Yuan",China,"$157,128.01","$157,128.00",100.00%,"$157,128.00",100.00%
6.,Nuguri,"Jang, Ha Gwon",Republic of Korea,"$148,539.31","$253,727.09",58.54%,"$253,727.09",58.54%
7.,ShowMaker,"Heo, Su",Republic of Korea,"$148,182.22","$378,500.69",39.15%,"$378,500.69",39.15%
8.,BeryL,"Cho, Geon Hee",Republic of Korea,"$142,709.61","$401,057.83",35.58%,"$401,057.83",35.58%
9.,Canyon,"Kim, Geon Bu",Republic of Korea,"$142,709.61","$397,292.18",35.92%,"$397,292.18",35.92%
10.,Ghost,"Jang, Yong Jun",Republic of Korea,"$139,653.09","$301,376.59",46.34%,"$301,376.59",46.34%
11.,Yagao,"Zeng, Qi",China,"$108,554.04","$380,467.01",28.53%,"$380,467.01",28.53%
12.,Kanavi,"Seo, Jin Hyeok",Republic of Korea,"$108,554.04","$380,113.36",28.56%,"$380,113.36",28.56%
13.,LokeN,"Lee, Dong Wook",Republic of Korea,"$108,554.04","$187,612.92",57.86%,"$187,612.92",57.86%
14.,Zoom,"Zhang, Xingran",China,"$108,554.04","$186,870.52",58.09%,"$186,870.52",58.09%
15.,Lvmao,"Zuo, Ming Hao",China,"$108,554.04","$181,520.77",59.80%,"$181,520.77",59.80%
16.,bin,"Chen, Zebin",China,"$93,258.69","$360,218.05",25.89%,"$360,218.05",25.89%
17.,SwordArt,"Hu, Shuo-Chieh",Taiwan,"$93,258.69","$352,298.16",26.47%,"$352,298.16",26.47%
18.,SofM,"Lê, Quang Duy",Vietnam,"$93,258.69","$157,297.95",59.29%,"$157,297.95",59.29%
19.,huanfeng,"Tang, Huan Feng",China,"$93,258.69","$135,874.54",68.64%,"$135,874.54",68.64%
20.,Angel,"Xiang, Tao",China,"$93,258.69","$127,336.38",73.24%,"$127,336.38",73.24%
21.,Caps,Rasmus Borregaard Winther,Denmark,"$76,820.00","$641,193.33",11.98%,"$641,193.33",11.98%
22.,PerkZ,Luka Perković,Croatia,"$76,820.00","$585,736.60",13.12%,"$585,736.60",13.12%
23.,Jankos,Marcin Jankowski,Poland,"$76,820.00","$519,257.63",14.79%,"$519,257.63",14.79%
24.,Wunder,Martin Hansen,Denmark,"$76,820.00","$437,155.62",17.57%,"$437,155.62",17.57%
25.,Mikyx,Mihael Mehle,Slovenia,"$76,820.00","$363,374.21",21.14%,"$363,374.21",21.14%
26.,Qiuqiu,"Zhang, Ming",China,"$68,628.01","$84,470.84",81.24%,"$84,470.84",81.24%
27.,Bdd,"Gwak, Bo Seong",Republic of Korea,"$52,677.45","$262,009.74",20.11%,"$262,009.74",20.11%
28.,705,"He, Yu Long",China,"$47,286.67","$57,605.92",82.09%,"$57,605.92",82.09%
29.,Keria,"Ryu, Min Seok",Republic of Korea,"$46,954.08","$356,427.88",13.17%,"$356,427.88",13.17%
30.,Ruler,"Park, Jae Hyuk",Republic of Korea,"$45,387.45","$815,773.29",5.56%,"$815,773.29",5.56%
31.,Clid,"Kim, Tae Min",Republic of Korea,"$45,323.57","$223,969.82",20.24%,"$223,969.82",20.24%
32.,Deft,"Kim, Hyuk Kyu",Republic of Korea,"$44,119.08","$533,702.27",8.27%,"$533,702.27",8.27%
33.,Chovy,"Jeong, Ji Hoon",Republic of Korea,"$44,119.08","$332,759.12",13.26%,"$332,759.12",13.26%
34.,Doran,"Choi, Hyeon Joon",Republic of Korea,"$44,119.08","$226,014.00",19.52%,"$226,014.00",19.52%
35.,Pyosik,"Hong, Chang Hyeon",Republic of Korea,"$44,119.08","$141,635.96",31.15%,"$141,635.96",31.15%
36.,Rascal,"Kim, Kwang Hee",Republic of Korea,"$43,703.57","$166,220.17",26.29%,"$166,220.17",26.29%
